LotArea,GarageArea,TotalBsmtSF,GrLivArea,BedroomAbvGr,FullBath,HalfBath,PredictedSalePrice
2403,496.0,530.0,1080,2,2,1,150080.0
12853,852.0,1642.0,1418,1,1,1,254394.0
7379,592.0,975.0,1848,3,2,1,213726.0
8000,596.0,1492.0,1492,3,2,0,203315.0
10456,535.0,1829.0,1829,4,2,0,224946.0
10791,660.0,1280.0,2495,4,2,1,260062.0
18837,678.0,1224.0,1891,3,3,0,248665.0
9600,441.0,715.0,1645,4,1,2,169934.0
9600,490.0,1232.0,1232,3,1,1,170953.0
9900,504.0,1209.0,1209,3,1,0,151109.0
9680,517.0,1510.0,1510,3,2,0,201885.0
10600,480.0,533.0,1775,3,2,0,165050.0
13260,0.0,1728.0,1728,6,2,0,157353.0
9724,400.0,1140.0,2461,3,2,0,225636.0
17360,470.0,782.0,1556,3,2,0,173660.0
11380,315.0,1080.0,1128,2,1,0,141454.0
8267,576.0,1604.0,1604,4,2,0,201731.0
8197,620.0,1480.0,1480,3,2,0,203938.0
8050,308.0,1143.0,1143,3,1,0,128730.0
10725,312.0,1206.0,1206,3,1,0,138802.0
10032,440.0,1244.0,1580,3,1,1,187133.0
8382,263.0,832.0,1337,3,1,0,120609.0
10950,318.0,864.0,1064,2,1,0,126800.0
10895,305.0,972.0,972,3,1,0,114290.0
13587,264.0,988.0,988,2,1,0,128626.0
7898,676.0,576.0,985,2,1,0,128542.0
8064,280.0,816.0,1224,3,1,0,114576.0
7635,484.0,1175.0,1175,3,1,1,162236.0
9760,440.0,1395.0,1395,2,1,0,178035.0
4800,240.0,709.0,1844,3,1,0,135287.0
4485,0.0,936.0,936,2,1,0,94216.0
5805,551.0,1347.0,1347,3,1,0,163579.0
6900,240.0,827.0,1251,3,1,0,112429.0
11851,240.0,1027.0,1633,3,1,0,148850.0
8239,315.0,1008.0,1245,3,1,0,127999.0
9656,780.0,678.0,832,2,1,0,134802.0
9600,288.0,930.0,1566,3,2,0,159862.0
9000,624.0,346.0,2268,3,3,0,208460.0
9045,0.0,840.0,2256,4,2,0,159497.0
10560,624.0,738.0,1470,2,1,1,180946.0
5830,363.0,988.0,1612,3,1,1,165502.0
7793,315.0,1108.0,2068,3,1,1,194881.0
5000,200.0,765.0,765,2,1,0,90676.0
6000,240.0,608.0,1132,2,1,0,106093.0
6000,576.0,572.0,1196,3,1,1,137034.0
6360,240.0,835.0,1453,3,1,1,141648.0
6000,312.0,780.0,1416,3,1,1,141339.0
6240,624.0,528.0,1040,2,1,0,123472.0
6240,480.0,928.0,1536,4,2,0,154905.0
6120,288.0,1124.0,1068,2,1,0,132239.0
8094,572.0,888.0,1962,4,1,1,183739.0
12900,0.0,780.0,1560,3,1,1,136276.0
3068,180.0,662.0,1324,3,1,0,99183.0
15263,365.0,1422.0,1675,3,2,0,202703.0
10632,180.0,689.0,1224,3,1,1,123289.0
9900,0.0,1212.0,1392,3,1,0,126813.0
6001,231.0,600.0,919,3,1,0,81638.0
6449,0.0,707.0,1884,4,1,1,129682.0
6048,450.0,856.0,1680,2,2,0,180937.0
10773,0.0,1832.0,1832,4,2,0,189406.0
7800,416.0,864.0,892,3,1,0,108314.0
7832,280.0,864.0,864,2,1,0,109818.0
7424,591.0,1319.0,1373,3,1,0,168229.0
11227,480.0,720.0,1440,4,1,1,145187.0
20062,690.0,1420.0,1483,1,1,1,244441.0
9259,440.0,660.0,756,2,1,0,106350.0
17082,522.0,1117.0,1981,4,2,1,222936.0
18600,480.0,972.0,1610,4,2,0,176179.0
11479,467.0,663.0,1074,3,1,0,115728.0
9350,209.0,756.0,1531,3,1,0,124560.0
9525,366.0,1172.0,1172,3,1,0,137468.0
17485,572.0,1508.0,1508,1,1,0,220299.0
11200,504.0,1250.0,1298,3,2,0,178467.0
11980,528.0,1433.0,1433,1,1,1,221587.0
12361,1017.0,946.0,1802,3,2,1,244706.0
7360,615.0,1222.0,1222,2,2,0,188003.0
14235,484.0,676.0,1445,3,2,0,159536.0
11105,580.0,870.0,965,2,1,0,139798.0
9337,513.0,878.0,1692,3,2,1,197596.0
15240,308.0,1026.0,1026,3,1,1,144183.0
7480,484.0,876.0,876,3,1,0,112289.0
10389,850.0,1978.0,1978,3,2,1,292577.0
9375,621.0,1040.0,2098,4,2,1,222505.0
4435,420.0,848.0,848,1,1,0,125647.0
8777,240.0,0.0,640,2,1,0,52637.0
8842,319.0,381.0,992,3,1,0,83849.0
10044,336.0,1196.0,1196,3,1,0,138558.0
11792,480.0,744.0,1120,2,1,0,135691.0
6305,352.0,1008.0,1096,3,1,0,120247.0
6410,0.0,960.0,960,3,1,0,86899.0
4853,260.0,1107.0,1296,2,2,0,158983.0
7890,399.0,856.0,856,2,1,0,117121.0
7200,0.0,0.0,2650,6,3,0,130213.0
9839,0.0,894.0,1666,3,1,0,125141.0
10452,312.0,1528.0,2133,4,1,1,210489.0
15600,484.0,1032.0,2177,5,2,1,212462.0
19645,473.0,423.0,1652,3,2,1,182336.0
3907,598.0,982.0,1034,1,1,0,153696.0
3907,531.0,1191.0,1191,2,2,0,174876.0
8154,200.0,480.0,540,1,1,0,80344.0
9140,625.0,629.0,1107,2,1,0,135754.0
8712,330.0,756.0,952,3,1,0,101312.0
3811,525.0,1594.0,1646,2,2,0,218862.0
11050,741.0,1049.0,1916,3,2,1,235661.0
9620,473.0,1243.0,1285,3,2,0,173391.0
12760,776.0,1958.0,2048,5,3,0,269040.0
11896,660.0,1336.0,1346,3,2,0,196784.0
9803,520.0,1214.0,1214,2,2,0,183729.0
9802,400.0,384.0,1444,3,2,1,152354.0
15300,528.0,1068.0,1264,2,1,0,167274.0
10114,624.0,1430.0,1430,3,2,0,201375.0
11875,686.0,1344.0,1344,3,2,0,198819.0
2394,253.0,945.0,945,2,1,0,109727.0
1476,0.0,546.0,1092,3,1,1,85657.0
1900,0.0,546.0,1092,3,1,1,86176.0
1890,286.0,546.0,1092,3,1,1,105536.0
6953,352.0,864.0,874,3,1,0,101989.0
12887,495.0,833.0,833,2,1,0,127356.0
7700,616.0,1216.0,2432,4,4,2,303452.0
10475,576.0,624.0,1274,3,1,1,149276.0
10544,275.0,864.0,1479,5,2,0,127865.0
9892,482.0,1679.0,1803,3,2,1,242628.0
12961,616.0,1152.0,1797,3,2,1,228448.0
13008,502.0,882.0,882,2,1,0,133055.0
10200,528.0,1434.0,1434,4,2,0,183231.0
10179,470.0,945.0,1608,3,2,1,194659.0
11792,632.0,1008.0,2283,4,2,1,234385.0
8400,390.0,384.0,1628,3,2,1,159705.0
7296,564.0,2208.0,2522,1,2,0,315424.0
7380,495.0,1418.0,1478,2,2,0,203385.0
8013,528.0,1587.0,1734,2,2,0,228514.0
8923,396.0,384.0,1382,3,2,1,147724.0
7500,440.0,952.0,1636,3,2,1,191186.0
8803,409.0,707.0,1516,3,2,1,171915.0
7250,430.0,1181.0,1190,3,2,0,159406.0
11900,567.0,1122.0,1934,3,2,1,229567.0
13250,529.0,832.0,2050,4,2,1,207938.0
10928,484.0,1427.0,1671,3,2,0,205499.0
12388,441.0,1043.0,2673,4,2,1,244604.0
11088,479.0,1140.0,1707,3,2,0,192725.0
7000,581.0,926.0,1884,3,2,1,211942.0
7500,588.0,1058.0,1874,3,2,1,219185.0
8470,565.0,972.0,1811,3,2,1,211121.0
9373,478.0,1621.0,1621,3,2,0,210369.0
10140,528.0,1116.0,1116,3,2,0,162369.0
11050,506.0,1176.0,1193,3,2,0,169110.0
7830,477.0,1180.0,1180,2,1,1,174679.0
8510,336.0,1043.0,1050,3,1,1,139975.0
7038,576.0,864.0,864,3,1,0,116736.0
9000,576.0,864.0,864,3,1,0,119137.0
1680,264.0,483.0,987,2,1,1,107197.0
1680,288.0,483.0,987,2,1,1,108823.0
2308,440.0,804.0,1548,3,2,1,172675.0
2280,440.0,1057.0,1055,2,2,0,152730.0
2349,440.0,855.0,1456,3,2,1,170436.0
2364,440.0,804.0,1548,3,2,1,172743.0
2364,440.0,855.0,1456,3,2,1,170454.0
2104,345.0,836.0,836,2,1,0,104310.0
10710,656.0,864.0,1120,3,1,0,140207.0
14257,754.0,1776.0,2772,4,3,1,329443.0
12350,864.0,1365.0,2690,3,2,1,302581.0
12350,896.0,2020.0,2020,3,2,0,283668.0
13693,762.0,2630.0,2674,2,2,1,372707.0
11578,834.0,1736.0,1736,3,2,0,249097.0
16870,932.0,1782.0,1782,3,2,0,266978.0
23303,640.0,1508.0,2520,5,2,1,274733.0
10367,927.0,1739.0,1743,3,2,0,254437.0
10872,700.0,1504.0,1531,2,2,0,228708.0
13514,850.0,1774.0,1808,3,2,0,258288.0
12878,583.0,1760.0,1760,3,2,0,236173.0
15274,886.0,2452.0,2452,3,2,0,331330.0
13262,730.0,1082.0,2400,4,3,1,271744.0
9658,871.0,1598.0,1606,3,2,0,235378.0
6904,484.0,1358.0,1358,2,2,0,192663.0
5122,624.0,1306.0,1306,1,2,0,206738.0
10307,484.0,1350.0,1358,2,2,0,196423.0
14836,949.0,2492.0,2492,2,2,1,370143.0
15262,685.0,2200.0,2200,3,2,1,310366.0
7390,649.0,1884.0,1884,2,2,0,258936.0
6472,539.0,1451.0,1456,2,2,0,205761.0
16770,701.0,1712.0,1712,3,2,0,243955.0
3480,478.0,1405.0,1405,2,2,0,192936.0
10928,390.0,728.0,1456,3,2,1,171115.0
8918,392.0,745.0,1490,3,2,1,171452.0
3182,397.0,1220.0,1220,2,2,0,167917.0
9434,400.0,384.0,1374,3,2,1,148196.0
7984,436.0,868.0,1630,3,2,1,186935.0
10125,434.0,846.0,1594,3,2,1,186398.0
8965,400.0,782.0,1489,3,2,1,173873.0
8174,393.0,698.0,1342,3,2,1,160391.0
12891,644.0,870.0,2004,4,2,1,214777.0
9734,400.0,384.0,1374,3,2,1,148564.0
8433,394.0,794.0,1514,3,2,1,174747.0
7750,400.0,384.0,1430,3,2,1,149101.0
15896,658.0,1177.0,2312,4,2,1,251265.0
7848,410.0,384.0,1430,3,2,1,149898.0
12720,810.0,1455.0,2687,4,2,1,291616.0
10750,815.0,2024.0,2063,3,2,0,278703.0
9085,647.0,1070.0,2061,3,2,1,235632.0
11692,623.0,1173.0,2232,3,2,1,251471.0
11194,972.0,1696.0,1696,3,2,0,253830.0
10206,726.0,1614.0,1658,3,2,1,248568.0
10130,844.0,1702.0,1702,3,2,0,244479.0
9139,492.0,1422.0,1432,3,2,0,190941.0
11128,795.0,2458.0,2490,2,2,0,334569.0
7993,529.0,1436.0,1436,3,2,0,192966.0
8640,625.0,1402.0,1402,3,2,0,196737.0
12606,984.0,1530.0,1530,3,2,0,239171.0
7500,692.0,1372.0,1448,2,2,0,212957.0
10603,782.0,900.0,1795,3,2,1,223936.0
8125,517.0,1836.0,1836,3,2,0,233760.0
10625,711.0,1652.0,1662,3,2,0,231425.0
8736,588.0,1553.0,1553,3,2,0,209994.0
8127,628.0,812.0,1653,3,2,1,198496.0
9605,576.0,1218.0,1218,3,1,1,175334.0
7500,484.0,1141.0,1141,3,1,1,158548.0
7500,0.0,1158.0,1158,3,1,1,127525.0
10628,478.0,835.0,1812,3,2,1,200982.0
10141,845.0,1512.0,1512,3,2,0,224874.0
13072,576.0,1114.0,1114,3,1,1,168801.0
13072,0.0,1114.0,1114,3,1,1,129785.0
12450,576.0,1114.0,1114,3,2,0,168240.0
7328,788.0,1450.0,1450,2,2,0,223307.0
11492,559.0,913.0,2122,4,2,1,215735.0
7703,528.0,816.0,1730,3,2,1,195484.0
7175,542.0,1332.0,1332,2,2,0,194230.0
9109,495.0,754.0,1540,3,2,1,181767.0
10274,465.0,676.0,1400,3,2,1,169795.0
8250,612.0,0.0,1882,4,2,0,137623.0
9750,400.0,980.0,980,3,1,0,120153.0
8499,732.0,864.0,864,3,1,0,129091.0
9079,440.0,864.0,864,2,1,0,122182.0
9316,288.0,1024.0,1020,3,2,0,135360.0
7791,300.0,912.0,912,3,1,0,103936.0
7150,252.0,912.0,912,3,1,0,99900.0
15676,864.0,2014.0,2014,2,2,0,297109.0
11949,524.0,975.0,1755,3,2,1,209788.0
2880,704.0,1376.0,3005,3,2,1,297393.0
3830,561.0,1726.0,1726,2,2,1,251024.0
4217,641.0,1145.0,1256,1,1,1,195778.0
2998,440.0,756.0,1512,2,2,1,181341.0
3768,506.0,691.0,1452,3,2,1,168124.0
14694,642.0,1694.0,1694,2,2,0,247714.0
15417,540.0,1740.0,1740,2,1,1,246255.0
9600,527.0,392.0,2499,4,2,1,204827.0
12732,784.0,752.0,2067,3,2,1,233585.0
10400,515.0,932.0,2640,5,2,1,227653.0
9600,502.0,1288.0,1336,3,2,0,180311.0
9000,336.0,1216.0,1216,3,1,0,139353.0
13774,520.0,908.0,2288,4,1,2,224223.0
7130,312.0,864.0,864,2,1,0,111127.0
9600,440.0,1568.0,1568,3,1,1,202381.0
9600,498.0,1165.0,2061,4,2,1,218822.0
16500,495.0,1232.0,1320,3,2,0,184597.0
7436,396.0,894.0,894,2,1,0,120300.0
8125,308.0,864.0,864,3,1,0,99913.0
9450,768.0,1040.0,1362,3,1,0,167983.0
13495,576.0,1048.0,1728,3,2,0,198693.0
9350,610.0,1313.0,1313,3,1,1,187168.0
10500,520.0,1292.0,1292,3,1,1,180303.0
8970,549.0,744.0,2140,4,2,1,204363.0
11475,368.0,1208.0,1576,4,1,0,151049.0
9768,330.0,960.0,960,2,1,0,125522.0
9900,550.0,1680.0,1691,2,1,0,215770.0
10573,530.0,1453.0,1453,3,2,0,197952.0
14695,542.0,1562.0,1567,2,2,0,227529.0
8760,286.0,1169.0,1144,3,1,0,129478.0
12285,441.0,1329.0,1329,3,1,1,180971.0
9240,297.0,988.0,988,3,2,0,132358.0
8750,304.0,1202.0,1202,3,1,0,135429.0
8750,350.0,1382.0,1382,3,1,0,157195.0
10400,294.0,1200.0,1200,3,1,0,136563.0
9482,495.0,1866.0,1866,4,2,0,224879.0
8128,297.0,1062.0,1062,3,1,0,119687.0
13070,480.0,631.0,1112,2,1,0,131108.0
8480,240.0,793.0,793,2,1,0,100545.0
7626,230.0,1031.0,1031,2,1,0,123483.0
9533,616.0,0.0,1210,2,1,1,127995.0
11419,410.0,699.0,1527,3,1,1,156385.0
9600,246.0,1200.0,1200,3,1,0,132333.0
5470,366.0,792.0,792,2,1,0,105293.0
10800,720.0,676.0,1352,4,2,0,154232.0
8146,281.0,405.0,1039,2,1,0,96288.0
10230,264.0,1054.0,1078,3,1,0,120467.0
10410,528.0,1313.0,2377,3,2,0,239461.0
7200,624.0,560.0,1690,4,2,0,155349.0
5400,0.0,416.0,599,2,1,0,51149.0
10800,576.0,720.0,846,2,1,0,125253.0
10800,320.0,630.0,725,1,1,1,127883.0
9671,907.0,1248.0,2544,6,2,2,270852.0
10143,364.0,1380.0,1380,3,1,1,178418.0
11500,480.0,1040.0,1040,3,1,0,133930.0
8010,480.0,951.0,951,2,1,0,132598.0
10454,308.0,1105.0,1105,3,1,0,127735.0
9000,384.0,160.0,1142,2,1,0,97355.0
8064,900.0,795.0,1133,3,1,0,150689.0
7350,294.0,1041.0,1041,3,1,0,116356.0
7200,240.0,732.0,732,2,1,0,92659.0
8000,288.0,528.0,1183,3,1,0,98280.0
10800,384.0,832.0,1461,4,2,0,145148.0
8064,576.0,864.0,1495,3,1,0,151409.0
7570,483.0,780.0,1806,4,1,1,163337.0
8604,564.0,941.0,941,2,1,0,137979.0
7936,264.0,1045.0,1045,3,1,0,115456.0
4080,162.0,901.0,1378,3,1,0,114169.0
10307,324.0,972.0,1944,4,2,0,173151.0
15660,472.0,240.0,1306,3,1,1,130820.0
9900,0.0,504.0,1464,3,2,0,113740.0
6406,400.0,690.0,1558,3,1,1,150758.0
7627,0.0,600.0,1701,4,2,0,116212.0
10134,0.0,801.0,1447,3,1,0,109193.0
6000,308.0,768.0,1328,3,1,1,135800.0
7404,288.0,861.0,861,2,1,0,109526.0
5925,308.0,0.0,612,1,1,0,64431.0
8520,287.0,624.0,792,2,1,0,95164.0
9600,720.0,677.0,1510,3,2,0,173343.0
8400,357.0,917.0,2007,3,2,0,185764.0
3600,280.0,624.0,1288,3,1,0,102777.0
3300,0.0,624.0,816,2,1,0,70607.0
5400,207.0,972.0,1480,3,1,0,127831.0
9720,640.0,741.0,1521,4,1,0,140757.0
9392,0.0,245.0,797,2,1,0,57858.0
6615,216.0,1022.0,1432,3,1,0,129918.0
4960,336.0,297.0,1654,3,2,0,130031.0
6000,320.0,468.0,1142,3,1,0,92789.0
6120,264.0,960.0,995,2,1,0,118440.0
6120,250.0,952.0,1582,3,2,0,154991.0
8635,1184.0,1072.0,1072,2,1,0,193586.0
8094,576.0,1048.0,1768,3,2,0,194202.0
9928,216.0,672.0,1944,3,2,0,162336.0
3000,0.0,1040.0,2128,4,2,0,155451.0
6876,316.0,720.0,1930,4,2,0,154904.0
5775,379.0,483.0,1427,3,1,0,112364.0
5852,0.0,1020.0,1864,6,2,1,138403.0
5160,384.0,1204.0,1666,3,1,0,161129.0
5160,0.0,858.0,892,1,1,0,100922.0
10320,308.0,698.0,1403,3,1,1,141513.0
4280,220.0,560.0,704,2,1,0,77535.0
10800,0.0,1200.0,1200,3,3,0,155093.0
10547,252.0,1152.0,1152,2,2,0,160063.0
9780,226.0,585.0,1112,4,2,0,102203.0
11625,668.0,1052.0,1052,3,1,1,166838.0
8014,504.0,456.0,1034,3,1,0,101390.0
15400,384.0,552.0,1774,4,2,0,153171.0
15312,480.0,1138.0,1138,3,1,0,148750.0
15584,336.0,825.0,2071,4,1,1,179502.0
9000,0.0,0.0,660,2,1,0,37713.0
15635,498.0,0.0,1383,2,1,0,117855.0
9571,340.0,1073.0,1073,2,1,0,137666.0
9350,240.0,747.0,1639,3,1,1,150700.0
7440,252.0,1089.0,1089,3,1,0,118595.0
4235,266.0,1049.0,1049,2,2,0,142614.0
10778,462.0,1054.0,1061,1,1,1,176746.0
19255,576.0,520.0,1338,2,1,1,170303.0
10560,473.0,1079.0,1879,3,2,1,216468.0
26400,576.0,0.0,2016,4,1,0,145516.0
7018,720.0,0.0,2228,6,2,0,137434.0
7018,400.0,0.0,1535,4,2,0,103378.0
7040,672.0,1094.0,1229,2,0,2,184959.0
7007,400.0,0.0,1513,4,2,0,102199.0
11855,820.0,1168.0,2787,6,4,2,314403.0
7939,820.0,1168.0,2787,6,4,2,309611.0
7976,820.0,1168.0,2787,6,4,2,309656.0
10933,1138.0,1555.0,1680,1,1,1,280885.0
10816,846.0,1720.0,1720,3,2,0,247319.0
9178,904.0,1468.0,1468,3,2,0,223133.0
11422,524.0,1838.0,1838,3,2,0,238476.0
6762,662.0,1282.0,1290,2,2,0,197096.0
10324,810.0,1254.0,1254,2,2,0,208155.0
11645,844.0,1498.0,1498,3,2,0,225196.0
11646,440.0,704.0,1422,3,2,1,172364.0
16698,525.0,1449.0,1759,3,2,1,239890.0
9757,440.0,990.0,990,3,1,0,123907.0
14753,539.0,1463.0,1463,3,2,0,204714.0
8750,492.0,928.0,1772,3,2,1,202225.0
10739,577.0,1431.0,1444,3,2,0,199748.0
11166,608.0,1492.0,1492,3,2,0,208003.0
16269,343.0,907.0,907,3,1,0,116706.0
6950,444.0,914.0,914,2,1,0,125028.0
11664,1231.0,1569.0,1611,3,2,0,261014.0
12334,570.0,1068.0,2184,4,2,1,228645.0
8749,550.0,840.0,1725,3,2,1,199206.0
11250,608.0,944.0,1870,3,2,1,219142.0
15750,521.0,1462.0,1513,2,2,0,219472.0
12782,523.0,1822.0,1828,3,2,0,238733.0
8750,511.0,1417.0,1417,3,2,0,190704.0
10200,810.0,1578.0,1602,3,2,0,230685.0
11069,440.0,608.0,1396,3,2,1,165418.0
10682,544.0,1014.0,1149,3,1,0,141720.0
3675,525.0,547.0,1072,2,1,0,116285.0
6410,320.0,876.0,876,3,1,0,99871.0
11767,195.0,1078.0,1368,3,1,0,134248.0
10926,0.0,1678.0,1678,6,2,0,149316.0
11767,313.0,1150.0,1560,2,1,0,168217.0
8212,256.0,720.0,1298,3,1,0,112188.0
6300,250.0,832.0,1268,3,1,1,132303.0
5707,180.0,583.0,1242,3,1,1,112845.0
8574,440.0,816.0,1232,3,1,0,126462.0
7155,215.0,600.0,1228,3,1,0,98331.0
13680,440.0,840.0,1567,2,1,1,182605.0
14680,307.0,1273.0,1273,2,1,0,162406.0
8145,400.0,920.0,2480,5,2,1,208022.0
9100,390.0,1112.0,1112,2,1,0,144517.0
13339,463.0,1561.0,1561,3,2,0,207990.0
15600,295.0,1067.0,1523,3,2,0,172341.0
17500,576.0,1310.0,1906,3,1,1,226092.0
1733,452.0,516.0,1032,2,1,0,105274.0
1488,462.0,561.0,1229,2,1,1,137141.0
1612,462.0,561.0,1229,2,1,1,137293.0
13607,501.0,572.0,1982,3,2,1,201867.0
17597,551.0,1803.0,2365,3,2,0,273999.0
8660,576.0,760.0,2168,5,2,0,177169.0
10200,200.0,572.0,572,2,1,0,77042.0
3843,482.0,1596.0,1648,2,2,0,216196.0
21780,280.0,0.0,810,1,1,0,92424.0
10125,642.0,1107.0,2052,3,2,1,237964.0
9750,351.0,902.0,926,2,1,0,122183.0
9360,541.0,957.0,1287,2,1,1,175257.0
11070,672.0,1582.0,1595,2,2,0,234394.0
13438,780.0,2190.0,2036,3,2,0,286600.0
14463,885.0,1641.0,1641,3,2,0,246239.0
9839,440.0,712.0,2237,3,2,1,213720.0
14419,578.0,1645.0,1479,3,2,1,235790.0
9157,486.0,912.0,2014,3,2,1,214322.0
12633,920.0,1978.0,1978,2,2,0,293448.0
12518,384.0,1008.0,1008,3,1,0,125358.0
13383,504.0,1188.0,1404,3,2,0,183612.0
7689,336.0,796.0,796,2,1,0,106391.0
7706,429.0,384.0,1091,2,1,0,107465.0
7669,698.0,828.0,883,2,1,0,137115.0
10429,440.0,624.0,1287,3,1,1,140696.0
10457,898.0,784.0,1632,4,1,1,185969.0
8702,470.0,926.0,1604,3,2,1,191677.0
8139,420.0,680.0,1470,3,2,1,168044.0
9535,472.0,926.0,1604,3,2,1,192832.0
15038,386.0,916.0,1636,3,2,1,194930.0
14137,404.0,1348.0,1384,3,2,0,184807.0
6264,528.0,1664.0,1682,1,1,1,239480.0
5070,506.0,1280.0,1280,2,2,0,183827.0
11184,460.0,932.0,1633,3,2,1,195877.0
14067,416.0,836.0,1709,3,2,1,195587.0
5950,462.0,1337.0,1337,2,2,0,187830.0
13543,683.0,1168.0,2500,5,3,1,266396.0
15401,670.0,1884.0,1884,2,2,0,270162.0
31220,495.0,1632.0,1474,3,1,0,212052.0
8118,557.0,1710.0,1710,2,2,0,235566.0
47280,738.0,1488.0,1488,3,2,1,279368.0
12680,528.0,1675.0,1688,2,2,0,236247.0
10825,598.0,1260.0,1260,3,2,0,182869.0
18559,550.0,2048.0,2064,3,2,0,271578.0
14450,551.0,1782.0,1782,3,2,0,238209.0
13068,461.0,1211.0,1211,3,2,0,171258.0
10400,489.0,738.0,2044,3,2,1,208822.0
9743,484.0,720.0,1308,3,1,1,148812.0
12511,1314.0,1420.0,2840,4,2,1,331829.0
10400,473.0,1444.0,1444,2,2,0,205108.0
14311,787.0,1236.0,2340,4,2,1,262535.0
9000,480.0,896.0,1792,4,2,2,207773.0
10295,288.0,936.0,936,2,1,0,120835.0
7560,576.0,864.0,864,3,1,0,117375.0
1680,264.0,483.0,987,2,1,1,107197.0
1890,352.0,483.0,987,2,1,1,113415.0
1680,264.0,630.0,1302,3,2,1,138143.0
2308,460.0,855.0,1456,4,2,1,159580.0
2529,440.0,1055.0,1055,2,2,0,152934.0
12704,905.0,1582.0,1582,3,2,0,239328.0
13693,650.0,2418.0,2464,4,2,1,318939.0
14418,706.0,1950.0,1950,2,2,0,278236.0
13418,850.0,1850.0,2748,4,2,1,318419.0
12539,1150.0,1620.0,2790,4,2,1,328238.0
12151,1003.0,1414.0,2331,3,2,1,295223.0
8899,656.0,948.0,2088,4,2,1,219104.0
10574,756.0,1148.0,2332,4,2,1,250980.0
12720,789.0,2535.0,2470,1,1,1,350912.0
10845,732.0,1603.0,1575,2,2,0,238188.0
16900,746.0,1479.0,2649,4,2,1,291600.0
16451,795.0,1765.0,2690,4,2,1,311028.0
10110,870.0,1858.0,1866,2,2,0,274964.0
12304,484.0,1367.0,1367,2,2,0,200205.0
8232,944.0,1800.0,1800,2,2,0,271245.0
6240,550.0,1342.0,1342,2,2,0,194664.0
6240,550.0,1342.0,1342,2,2,0,194664.0
2448,474.0,764.0,1626,2,2,1,189414.0
3940,644.0,1415.0,1455,2,2,0,207898.0
3940,668.0,1393.0,1576,2,2,0,214818.0
3710,428.0,1146.0,1246,2,2,0,168291.0
9024,393.0,789.0,1515,3,2,1,175203.0
8010,400.0,840.0,1720,3,2,1,187876.0
8396,434.0,847.0,1986,4,2,1,192933.0
7301,484.0,1350.0,1358,2,2,0,192744.0
8220,431.0,982.0,1892,3,2,1,206535.0
7750,403.0,707.0,1414,3,2,1,164818.0
12460,400.0,1037.0,2322,4,2,1,223022.0
8390,450.0,831.0,1651,3,2,1,187618.0
9660,516.0,1173.0,2199,3,2,1,239988.0
11000,687.0,1519.0,2172,4,2,1,257147.0
11675,938.0,1982.0,2006,2,2,0,295181.0
10990,576.0,1064.0,2125,4,2,1,224079.0
11929,751.0,1242.0,2501,4,2,1,266012.0
10010,783.0,1080.0,2197,4,2,1,241525.0
13253,642.0,1578.0,1578,3,2,0,221771.0
9801,851.0,1341.0,1861,3,3,0,253662.0
9428,880.0,955.0,1874,3,2,1,236106.0
10037,480.0,1460.0,1460,3,2,0,194635.0
8640,588.0,1363.0,1372,3,2,0,190667.0
