,LotArea,GarageArea,TotalBsmtSF,GrLivArea,BedroomAbvGr,FullBath,HalfBath,SalePrice
208,14364,454,1157,2062,3,2,1,277000
209,8250,504,1092,1092,3,1,0,145000
210,5604,0,864,864,2,1,0,98000
211,10420,460,1212,1212,3,2,0,186000
212,8640,644,900,1852,3,2,1,252678
213,13568,576,990,990,3,1,0,156000
214,10900,299,689,1392,3,1,1,161750
215,10011,447,1070,1236,2,1,0,134450
216,8450,484,1436,1436,3,2,0,210000
217,9906,210,686,1328,3,1,0,107000
218,15660,431,798,1954,3,1,1,311500
219,3010,438,1248,1248,2,2,0,167240
220,8990,675,1498,1498,2,2,0,204900
221,8068,390,1010,2267,4,2,1,200000
222,11475,434,713,1552,3,2,1,179900
223,10500,576,864,864,2,1,0,97000
225,1680,280,630,1302,3,2,1,112000
226,9950,721,1203,2520,4,2,1,290000
227,1869,280,483,987,2,1,1,106000
228,8521,336,912,912,3,1,0,125000
229,3182,430,1373,1555,2,2,0,192500
230,8760,312,1194,1194,3,1,0,148000
232,1680,288,483,987,2,1,1,94500
233,10650,308,894,894,3,1,0,128200
234,7851,440,860,1960,4,2,1,216500
235,1680,264,483,987,2,1,1,89500
236,8773,494,1414,1414,3,2,0,185500
237,9453,457,996,1744,3,2,1,194500
238,12030,818,1694,1694,3,2,0,318000
239,8741,220,735,1487,3,1,1,113000
240,9000,750,1566,1566,3,2,0,262500
241,3880,0,686,866,2,1,0,110500
242,5000,352,540,1440,3,1,0,79000
243,10762,288,626,1217,3,1,1,120000
244,8880,463,948,2110,3,2,1,205000
245,10400,604,1845,1872,3,2,0,241500
246,9142,440,1020,1928,4,2,0,137000
247,11310,451,1367,1375,2,1,0,140000
248,11317,500,840,1668,3,2,1,180000
250,5350,0,728,1306,3,1,0,76500
251,4750,538,1573,1625,2,2,0,235000
252,8366,520,798,1640,3,2,1,173000
253,9350,309,1302,1302,3,2,0,158000
254,8400,294,1314,1314,3,1,0,145000
255,8738,429,975,2291,4,2,1,230000
256,8791,673,864,1728,3,2,1,207500
257,8814,660,1604,1604,3,2,1,220000
258,12435,564,963,1792,3,2,1,231500
259,12702,308,0,882,2,1,0,97000
260,19296,884,1362,1382,3,1,0,176000
261,9588,868,1482,2574,3,2,1,276000
262,8471,492,506,1212,3,1,0,151000
263,5500,484,926,1316,3,1,0,130000
264,5232,504,680,764,2,1,0,73000
265,12090,576,1422,1422,3,2,0,175500
266,11207,413,802,1511,3,2,1,185000
267,8400,240,720,2192,4,2,1,179500
268,6900,924,740,778,2,1,0,120500
269,7917,504,1143,1113,3,1,1,148000
270,10728,1053,1095,1939,3,2,1,266000
272,11764,671,1152,2270,4,2,1,290000
273,9600,338,1240,1632,3,2,0,139000
274,8314,264,816,816,2,1,0,124500
275,7264,672,952,1548,3,2,1,205000
276,9196,573,1560,1560,3,2,0,201000
277,19138,400,864,864,2,1,0,141000
279,10005,505,1160,2022,4,2,1,192000
280,11287,575,807,1982,3,2,1,228500
281,7200,572,1262,1262,2,2,0,185000
282,5063,626,1314,1314,2,2,0,207500
283,9612,898,1468,1468,3,2,0,244600
284,8012,529,1575,1575,2,2,0,179200
285,4251,528,625,1250,2,2,1,164700
286,9786,440,912,1734,3,1,1,159000
287,8125,0,858,858,3,1,0,88000
288,9819,280,882,900,3,1,0,122000
289,8730,384,698,1396,3,1,0,153575
290,15611,685,1079,1919,3,2,1,233230
292,11409,281,768,1716,3,1,1,131000
293,16659,539,795,2263,3,2,1,235000
294,9600,418,1416,1644,3,1,0,167000
295,7937,588,1003,1003,3,1,0,142500
296,13710,282,910,1558,4,1,1,152000
297,7399,576,975,1950,3,2,1,239000
299,14000,300,1092,1152,3,1,0,158500
300,15750,375,1165,1336,2,1,0,157000
301,16226,683,1028,2452,4,2,1,267000
302,13704,843,1541,1541,3,2,0,205000
303,9800,552,894,894,3,1,0,149900
305,10386,888,2000,2000,3,2,0,305900
306,13474,746,700,2243,4,2,1,225000
307,7920,0,319,1406,3,1,0,89500
308,12342,539,861,861,1,1,0,82500
310,7685,420,697,1501,3,2,1,165600
311,8000,240,972,972,2,1,0,132000
312,7800,410,793,1118,3,1,0,119900
314,9600,546,728,1641,3,1,1,178000
315,7795,432,716,1432,3,2,1,188500
316,13005,484,845,2353,4,2,1,260000
317,9000,1025,1088,1959,3,2,1,270000
318,9900,656,1347,2646,4,2,1,260000
319,14115,588,1372,1472,3,2,0,187500
322,10380,576,1502,2730,4,2,1,301000
323,5820,220,1162,1163,3,1,0,126175
325,5000,360,720,803,2,1,0,87000
326,10846,473,1719,1719,1,1,1,324000
327,11600,292,1383,1383,3,1,1,145250
328,11888,441,844,2134,5,2,0,214500
329,6402,189,596,1192,3,1,0,78000
331,8176,308,1056,1056,3,1,0,139000
333,8198,484,1358,1358,2,2,0,207000
334,9042,472,943,1638,3,2,1,192000
337,9135,532,1536,1536,3,2,0,214000
338,14145,440,1208,1621,3,2,0,202500
339,12400,297,1215,1215,3,1,0,155000
340,14191,431,967,1908,4,2,1,202900
341,8400,294,721,841,2,1,0,82000
342,8544,400,0,1040,2,2,0,87500
343,8849,564,1684,1684,2,2,0,266000
344,2592,336,536,1112,3,1,1,85000
345,6435,312,972,1577,3,1,0,140200
346,12772,301,958,958,2,1,0,151500
347,17600,498,1478,1478,3,2,0,157500
348,2448,474,764,1626,2,2,1,154000
350,7820,617,1869,1869,2,2,0,318061
351,5271,445,1453,1453,2,1,1,190000
352,9084,200,616,1111,3,1,0,95000
353,8520,484,624,720,2,1,0,105900
354,8400,240,940,1595,2,1,0,140000
355,11249,521,1200,1200,3,2,0,177500
356,9248,400,1158,1167,3,2,0,173000
357,4224,528,1142,1142,3,1,1,134000
358,6930,288,1062,1352,3,1,0,130000
359,12011,592,1086,1924,3,2,1,280000
360,7540,470,888,912,2,1,0,156000
361,9144,240,883,1505,3,1,0,145000
362,7301,672,0,1922,4,3,0,198500
363,1680,264,483,987,2,1,1,118000
364,18800,566,796,1574,3,2,1,190000
365,10690,468,672,1344,3,1,0,147000
366,9500,514,1394,1394,3,1,1,159000
367,9150,296,1099,1431,3,1,0,165000
368,7800,244,1268,1268,2,1,0,132000
369,9830,576,1063,1287,3,1,0,162000
370,8121,460,953,1664,3,2,1,172400
371,17120,680,0,1588,4,2,0,134432
372,7175,264,744,752,2,1,0,125000
373,10634,270,608,1319,3,1,0,123000
374,8200,434,847,1928,4,2,1,219500
375,10020,0,683,904,1,0,1,61000
376,8846,576,870,914,2,1,0,148000
377,11143,610,1580,2466,4,3,0,340000
379,8123,463,982,1800,3,2,1,179000
380,5000,308,1026,1691,3,2,0,127000
381,7200,572,1293,1301,2,2,0,187750
382,9245,639,939,1797,3,2,1,213500
383,9000,360,784,784,2,1,0,76000
385,3182,430,1256,1269,2,2,0,192000
386,8410,0,658,1184,5,1,0,81000
387,7200,352,1041,1125,3,1,0,125000
388,9382,577,1468,1479,3,2,0,191000
390,8405,384,861,1367,4,1,0,119000
391,12209,560,804,1961,3,2,1,215000
392,8339,294,0,882,3,1,0,106500
393,7446,0,788,788,2,1,0,100000
394,10134,240,735,1034,2,1,0,109000
395,9571,596,1144,1144,3,1,0,129000
396,7200,600,894,894,2,1,0,123000
397,7590,264,864,1812,4,2,0,169500
398,8967,338,961,1077,2,1,0,67000
399,8125,438,1092,1550,2,2,0,241000
400,14963,500,1260,1288,1,1,1,245500
401,8767,400,1310,1310,3,2,0,164990
402,10200,240,672,672,2,1,0,108000
403,12090,420,1141,2263,4,2,1,258000
404,10364,373,806,1572,3,2,1,168000
405,9991,490,1281,1620,3,2,0,150000
406,10480,240,1064,1639,3,1,0,115000
407,15576,308,840,1680,4,2,0,177000
408,14154,947,1063,2172,3,2,1,280000
409,10800,836,1034,2078,3,2,1,339750
410,9571,350,1276,1276,3,1,0,60000
411,34650,572,1056,1056,3,1,0,145000
412,4403,484,1470,1478,2,2,1,222000
413,8960,360,1008,1028,2,1,0,115000
414,11228,678,1080,2097,3,2,1,228000
415,8899,396,1340,1340,3,2,0,181134
416,7844,440,672,1400,3,1,1,149500
417,22420,864,1370,2624,4,2,1,239000
418,8160,240,756,1134,3,1,1,126000
419,8450,304,1056,1056,3,1,0,142000
420,7060,784,1344,1344,2,2,0,206300
421,16635,529,1602,1602,3,2,0,215000
422,21750,520,988,988,2,1,0,113000
423,9200,696,1470,2630,4,2,1,315000
424,9000,297,1196,1196,2,1,0,139000
425,3378,240,651,1389,3,1,1,135000
426,12800,569,1518,1644,2,2,0,275000
427,8593,352,907,907,3,1,0,109008
428,6762,628,1208,1208,2,2,0,195400
429,11457,576,1392,1412,3,2,0,175000
430,1680,264,483,987,2,1,1,85400
431,5586,0,901,1198,4,1,0,79900
432,1920,440,765,1365,2,1,1,122500
433,10839,470,926,1604,3,2,1,181000
434,1890,0,630,630,1,1,0,81000
435,10667,550,799,1661,3,2,1,212000
436,4400,440,648,1118,2,1,0,116000
437,6000,180,884,904,2,1,0,119000
438,4280,352,440,694,2,1,0,90350
439,12354,528,684,1196,3,1,0,110000
441,12108,0,1440,1440,4,2,0,118000
442,6240,360,1078,1573,3,2,0,162900
443,3922,648,1258,1258,2,2,0,172500
444,8750,493,915,1908,4,2,1,210000
445,9855,480,1436,1689,3,1,0,127500
446,16492,578,1517,1888,2,2,1,190000
447,11214,431,930,1886,4,2,1,199900
448,8600,198,780,1376,3,2,0,119500
449,6000,308,649,1183,2,1,1,120000
450,5684,270,813,813,2,1,0,110000
452,9303,422,872,1756,3,2,1,204000
453,9000,676,768,1590,3,2,1,210000
454,9297,560,1728,1728,4,2,0,188000
455,9600,528,1242,1242,3,1,1,175500
456,4571,513,624,1344,4,1,0,98000
458,5100,228,588,1666,3,1,0,161000
459,7015,352,709,1203,3,1,0,110000
460,8004,552,832,1935,3,2,1,263435
461,7200,576,560,1135,3,1,0,155000
462,8281,360,864,864,3,1,0,62383
463,11988,240,715,1660,3,1,1,188700
464,8430,0,1040,1040,3,2,0,124000
465,3072,398,1375,1414,2,2,0,178740
466,10628,526,1277,1277,2,1,0,167000
467,9480,312,728,1644,3,1,1,146500
468,11428,866,1626,1634,3,2,0,250000
469,9291,506,832,1710,3,2,1,187000
470,6820,528,1488,1502,1,1,1,212000
471,11952,534,808,1969,3,2,1,190000
472,3675,525,547,1072,2,1,0,148000
474,5330,499,1494,1652,2,2,0,251000
475,8480,624,970,970,2,1,0,132500
476,13125,508,1478,1493,3,2,0,208900
478,10637,826,1705,1718,3,2,0,297000
479,5925,672,907,1131,2,1,0,89471
480,16033,772,1833,1850,3,2,0,326000
482,2500,164,910,1826,4,1,1,155000
483,4500,402,1216,1216,2,2,0,164000
484,7758,264,999,999,3,1,0,132500
485,9600,264,1113,1113,3,1,0,147000
486,10289,515,1073,1073,3,1,1,156000
487,12243,487,1484,1484,3,2,0,175000
488,10800,520,954,2414,3,2,0,160000
489,1526,286,630,630,1,1,0,86000
490,2665,336,264,1304,3,1,1,115000
491,9490,240,806,1578,3,1,0,133000
492,15578,429,728,1456,3,2,1,172785
493,7931,308,1269,1269,3,1,1,155000
494,5784,273,190,886,2,1,0,91300
495,7879,0,720,720,2,1,0,34900
497,9120,240,1026,1820,4,2,0,184000
498,7800,288,864,899,3,1,0,130000
499,7535,297,912,912,2,1,0,120000
500,1890,264,672,1218,3,1,1,113000
501,9803,603,866,1768,3,2,1,226700
502,9170,461,1214,1214,2,1,0,140000
503,15602,484,1501,1801,1,2,0,289000
504,2308,440,855,1322,3,2,1,147000
505,7596,400,960,1960,4,2,0,124500
506,9554,471,777,1911,3,2,1,215000
507,7862,676,1218,1218,2,2,0,208300
508,9600,360,689,1378,3,2,0,161000
509,9600,270,1041,1041,3,1,0,124500
510,14559,288,1008,1363,2,1,0,164900
511,6792,474,1368,1368,2,2,0,202665
512,9100,624,864,864,3,1,0,129900
513,9187,484,1084,1080,3,1,1,134000
514,10594,200,768,789,2,1,0,96500
516,10448,583,689,2119,3,2,1,158000
517,10208,889,1264,2344,3,2,1,265000
518,9531,546,794,1796,3,2,1,211000
519,10918,282,1276,2080,3,1,1,234000
520,10800,0,0,1294,3,2,0,106250
521,11988,336,1244,1244,3,1,1,150000
522,5000,420,1004,1664,3,2,0,159000
524,11787,834,1379,2398,3,2,1,315750
525,7500,453,1257,1266,3,2,0,176000
526,13300,252,928,928,2,1,0,132000
528,9098,0,528,605,2,1,0,86000
529,32668,484,2035,2515,4,3,0,200624
530,10200,600,1461,1509,3,2,0,175000
531,6155,502,611,1362,3,2,0,128000
532,7200,392,0,827,2,1,0,107500
533,5000,0,0,334,1,1,0,39300
534,9056,403,707,1414,3,2,1,178000
535,7000,0,1117,1347,3,1,0,107500
536,8924,527,880,1724,3,2,1,188000
537,12735,576,864,864,3,1,0,111250
538,11553,336,1051,1159,3,1,1,158000
539,11423,670,1581,1601,3,2,0,272000
540,14601,765,1838,1838,2,2,0,315000
541,11000,648,969,2285,4,2,1,248000
542,10140,583,1650,1680,3,2,0,213250
543,4058,367,723,767,1,1,0,133000
544,17104,426,654,1496,3,2,1,179665
545,13837,786,1204,2183,4,2,1,229000
546,8737,440,1065,1635,3,1,1,210000
547,7244,624,768,768,2,1,0,129500
548,8235,720,825,825,2,1,0,125000
549,9375,615,912,2094,4,2,1,263000
550,4043,440,1069,1069,2,2,0,140000
551,6000,288,928,928,3,1,0,112500
552,11146,908,1709,1717,3,2,0,255500
553,8777,520,0,1126,2,2,0,108000
554,10625,871,998,2046,3,2,1,284000
555,6380,280,993,1048,2,1,0,113000
556,14850,299,1092,1092,2,1,0,141000
557,11040,570,637,1336,3,1,1,108000
558,21872,406,729,1446,3,2,1,175000
559,3196,420,1374,1557,2,2,0,234000
560,11341,528,1392,1392,3,1,1,121500
561,10010,418,1389,1389,2,1,0,170000
562,13907,0,996,996,3,1,0,108000
563,21780,396,1163,1674,4,2,0,185000
564,13346,590,1095,2295,4,2,1,268000
565,6858,216,806,1647,4,1,1,128000
566,11198,656,1122,2504,4,2,1,325000
567,10171,532,1517,1535,3,2,0,214000
568,12327,612,1496,2132,1,1,1,316600
569,7032,600,943,943,2,1,0,135960
571,7332,288,864,864,2,1,0,120000
572,13159,650,846,1692,3,2,1,224500
573,9967,400,384,1430,3,2,1,170000
574,10500,288,372,1109,3,1,0,139000
575,8480,336,832,1216,2,1,0,118500
576,6292,216,861,1477,3,2,0,145000
577,11777,564,1164,1320,3,1,0,164500
578,3604,540,689,1392,2,2,0,146000
579,12150,352,1050,1795,4,2,0,131500
580,14585,572,1144,1429,3,1,0,181900
582,11841,0,816,816,3,1,0,118500
583,13500,880,1237,2775,3,3,1,325000
584,6120,240,884,1573,3,1,0,133000
586,10267,275,816,838,2,1,0,130000
587,8740,528,840,860,2,1,0,137000
588,25095,452,1437,1473,1,1,0,143000
589,9100,308,742,935,2,1,0,79500
590,8320,520,770,1582,3,2,1,185900
592,6600,816,816,816,2,1,0,138000
593,4435,420,848,848,1,1,0,140000
594,7990,280,924,924,3,1,0,110000
595,11302,758,1814,1826,3,2,0,319000
596,3600,216,684,1368,3,1,0,114504
598,12984,621,1430,1647,3,2,0,217500
599,1950,452,716,1556,3,2,1,151000
600,10927,736,1058,1904,3,2,1,275000
601,9000,544,780,1375,3,1,1,141000
602,10041,506,908,1915,3,2,1,220000
603,3182,480,600,1200,2,2,1,151000
604,12803,530,1494,1494,3,2,0,221000
605,13600,486,768,1986,3,2,1,205000
606,12464,576,1040,1040,3,1,0,152000
607,7800,230,896,2008,3,3,0,225000
609,7943,261,1029,1029,3,1,0,118500
610,11050,736,1440,2153,3,2,1,313000
611,10395,564,1032,1032,3,2,0,148000
612,11885,531,1299,1872,3,2,1,261500
613,8402,0,1120,1120,3,1,0,147000
614,1491,0,630,630,1,1,0,75500
615,8800,480,936,1054,3,1,0,137500
616,7861,393,783,1509,3,2,1,183200
617,7227,528,832,832,2,1,0,105500
618,11694,774,1822,1828,3,2,0,314813
619,12244,749,1482,2262,4,2,1,305000
620,8248,0,864,864,2,1,0,67000
621,10800,624,1522,2614,4,2,1,240000
622,7064,484,980,980,3,1,0,135000
623,2117,440,756,1512,2,2,1,168500
625,10000,440,1116,1116,3,1,1,160000
626,12342,286,978,1422,3,1,0,139900
627,9600,364,1156,1520,3,1,0,153000
629,9020,520,1248,1350,3,1,1,168500
630,9000,240,636,1750,3,1,0,124000
631,4590,627,1554,1554,2,2,0,209500
632,11900,544,1386,1411,3,2,0,82500
633,9250,260,1056,1056,3,1,0,139400
636,6120,0,264,800,1,1,0,60000
637,6000,256,811,1387,3,2,0,93000
638,8777,0,796,796,2,1,0,85000
639,3982,648,1520,1567,1,2,0,264561
640,12677,588,1518,1518,1,1,1,274000
641,7050,650,1057,1929,3,2,1,226000
643,10793,462,780,1620,4,2,1,152000
645,10530,576,981,981,3,1,1,143250
646,7200,420,0,1048,3,1,0,98300
647,10452,495,1094,1094,3,1,0,155000
648,7700,442,756,1839,4,1,1,155000
649,1936,0,630,630,1,1,0,84500
650,8125,562,813,1665,3,2,1,205950
651,9084,296,755,1510,4,1,0,108000
652,8750,512,880,1716,2,2,1,191000
653,10320,216,756,1469,3,1,0,135000
655,1680,264,525,1092,3,1,1,88000
656,10007,312,1053,1053,3,1,1,145500
657,7200,270,776,1502,3,1,1,149000
658,17503,330,912,1458,3,1,0,97500
659,9937,480,1486,1486,3,1,0,167000
660,12384,550,793,1935,3,2,1,197900
662,13560,576,1392,1392,2,1,0,110000
663,10012,588,1138,1181,3,2,0,137500
665,11194,504,1406,1936,3,2,1,230500
666,18450,596,1021,2380,3,2,1,129000
667,8125,575,1408,1679,3,2,0,193500
668,14175,576,1188,1437,3,1,1,168000
669,11600,252,700,1180,2,1,0,137500
670,8633,540,738,1476,3,2,1,173500
671,6629,300,672,1369,3,2,0,103600
672,11250,546,1208,1208,3,1,1,165000
673,14442,416,1477,1839,3,2,0,257500
674,9200,384,1136,1136,3,1,0,140000
675,2289,440,855,1441,3,2,1,148500
676,9600,779,1095,1774,4,2,0,87000
677,9022,240,768,792,2,1,0,109500
679,9945,572,988,988,3,1,0,128500
680,8012,264,923,923,2,2,0,143000
681,4500,281,793,1520,3,1,0,159434
682,2887,431,1291,1291,2,1,0,173000
683,11248,702,1626,1668,3,2,0,285000
684,16770,486,1195,1839,4,2,1,221000
685,5062,577,1190,2090,3,2,0,207500
686,10207,578,874,1761,3,3,0,227875
687,5105,480,551,1102,2,2,1,148800
689,7577,460,1362,1362,2,2,0,194700
690,4426,420,848,848,1,1,0,141000
692,26178,628,1210,2519,4,2,1,335000
693,5400,326,1073,1073,2,1,0,108480
694,6120,576,927,1539,3,1,1,141500
695,13811,551,1112,1137,2,2,0,176000
696,6000,205,616,616,2,1,0,89000
697,6420,308,980,1148,2,1,0,123500
698,8450,336,894,894,3,1,0,138500
699,4282,530,1391,1391,2,2,0,196000
700,14331,765,1800,1800,3,2,0,312500
701,9600,528,1164,1164,3,1,1,140000
703,7630,672,360,1812,4,2,0,140000
704,8400,606,1473,1484,3,2,0,213000
705,5600,0,0,1092,3,2,0,55000
707,6240,550,1324,1324,2,2,0,254000
708,9018,400,728,1456,3,2,1,179540
709,7162,408,876,904,3,1,0,109900
710,4130,0,270,729,2,1,0,52000
711,8712,384,859,1178,2,1,0,102776
712,4671,472,1228,1228,2,2,0,189000
713,9873,576,960,960,3,1,0,129000
714,13517,475,725,1479,3,2,1,130500
715,10140,478,1064,1350,3,2,0,165000
716,10800,704,718,2554,3,1,1,159500
